Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
8ppn-flush-end,4,14,2.07,1.79,0.28
8ppn-flush-end,4,15,2.01,1.73,0.28
8ppn-flush-end,4,16,2.1,1.82,0.28
8ppn-flush-end,4,17,2.03,1.75,0.28
8ppn-flush-end,4,18,2.02,1.74,0.28
8ppn-flush-end,4,19,2.05,1.75,0.3
8ppn-flush-end,4,20,2.01,1.73,0.28
8ppn-flush-end,4,21,2.01,1.72,0.29
8ppn-flush-end,4,22,2.02,1.74,0.28
8ppn-flush-end,4,23,2.06,1.78,0.28
8ppn-flush-end,4,24,2.07,1.79,0.28
8ppn-flush-end,4,25,2.0,1.72,0.28
8ppn-flush-end,4,26,2.02,1.74,0.28
8ppn-flush-end,4,27,2.04,1.76,0.28
8ppn-flush-end,4,28,2.05,1.77,0.28
8ppn-flush-end,4,29,2.06,1.78,0.28
8ppn-flush-end,4,30,2.02,1.74,0.28
8ppn-flush-end,4,31,2.01,1.72,0.29
8ppn-flush-end,4,32,2.0,1.72,0.28
8ppn-flush-end,4,33,2.08,1.8,0.28
8ppn-flush-end,4,34,2.05,1.77,0.28
8ppn-flush-end,4,35,2.04,1.76,0.28
8ppn-flush-end,4,36,2.03,1.75,0.28
8ppn-flush-end,4,37,2.02,1.74,0.28
8ppn-flush-end,4,38,2.02,1.74,0.28
8ppn-flush-end,4,39,2.01,1.73,0.28
8ppn-flush-end,4,40,2.01,1.73,0.28
8ppn-flush-end,4,41,2.05,1.77,0.28
8ppn-flush-end,4,42,2.0,1.72,0.28
8ppn-flush-end,4,43,2.0,1.72,0.28
8ppn-flush-end,4,44,2.0,1.72,0.28
8ppn-flush-end,4,45,2.01,1.73,0.28
8ppn-flush-end,4,46,2.03,1.75,0.28
8ppn-flush-end,4,47,2.06,1.78,0.28
8ppn-flush-end,4,48,2.01,1.73,0.28
8ppn-flush-end,4,49,2.01,1.74,0.27
8ppn-flush-end,4,50,2.02,1.74,0.28
8ppn-flush-end,4,51,2.03,1.75,0.28
8ppn-flush-end,4,52,2.01,1.74,0.27
8ppn-flush-end,4,53,2.02,1.75,0.27
8ppn-flush-end,4,54,2.02,1.75,0.27
8ppn-flush-end,4,55,1.99,1.72,0.27
8ppn-flush-end,4,56,2.02,1.75,0.27
8ppn-flush-end,4,57,1.99,1.72,0.27
8ppn-flush-end,4,58,2.01,1.74,0.27
8ppn-flush-end,4,59,2.0,1.73,0.27
8ppn-flush-end,4,60,2.02,1.75,0.27
8ppn-flush-end,4,61,2.02,1.75,0.27
8ppn-flush-end,4,62,2.05,1.78,0.27
8ppn-flush-end,4,63,2.0,1.73,0.27
8ppn-flush-end,4,64,2.02,1.75,0.27
8ppn-flush-end,4,65,2.01,1.74,0.27
8ppn-flush-end,4,66,2.01,1.74,0.27
8ppn-flush-end,4,67,1.99,1.72,0.27
8ppn-flush-end,4,68,1.99,1.72,0.27
8ppn-flush-end,4,69,2.0,1.73,0.27
8ppn-flush-end,4,70,1.99,1.72,0.27
8ppn-flush-end,4,71,2.0,1.73,0.27
8ppn-flush-end,4,72,1.99,1.72,0.27
8ppn-flush-end,4,73,1.99,1.72,0.27
8ppn-flush-end,4,74,2.0,1.73,0.27
8ppn-flush-end,4,75,2.02,1.75,0.27
8ppn-flush-end,4,76,2.0,1.73,0.27
8ppn-flush-end,4,77,2.02,1.74,0.28
8ppn-flush-end,4,78,1.99,1.73,0.26
8ppn-flush-end,4,79,2.02,1.75,0.27
8ppn-flush-end,4,80,2.06,1.79,0.27
8ppn-flush-end,4,81,1.99,1.72,0.27
8ppn-flush-end,4,82,2.02,1.76,0.26
8ppn-flush-end,4,83,2.0,1.73,0.27
8ppn-flush-end,4,84,2.03,1.76,0.27
8ppn-flush-end,4,85,1.99,1.72,0.27
8ppn-flush-end,4,86,1.99,1.72,0.27
8ppn-flush-end,4,87,1.99,1.73,0.26
8ppn-flush-end,4,88,2.0,1.73,0.27
8ppn-flush-end,4,89,2.0,1.73,0.27
8ppn-flush-end,4,90,1.99,1.72,0.27
8ppn-flush-end,4,91,1.99,1.72,0.27
8ppn-flush-end,4,92,2.0,1.73,0.27
8ppn-flush-end,4,93,2.0,1.73,0.27
8ppn-flush-end,4,94,2.0,1.73,0.27
8ppn-flush-end,4,95,1.99,1.72,0.27
8ppn-flush-end,4,96,2.0,1.73,0.27
8ppn-flush-end,4,97,2.02,1.75,0.27
8ppn-flush-end,4,98,1.99,1.73,0.26
8ppn-flush-end,4,99,2.0,1.73,0.27
8ppn-flush-end,4,100,2.08,1.78,0.3
8ppn-flush-end,4,101,2.01,1.74,0.27
8ppn-flush-end,4,102,2.03,1.77,0.26
8ppn-flush-end,4,103,1.98,1.72,0.26
8ppn-flush-end,4,104,2.0,1.74,0.26
8ppn-flush-end,4,105,2.01,1.75,0.26
8ppn-flush-end,4,106,2.0,1.74,0.26
8ppn-flush-end,4,107,2.0,1.74,0.26
8ppn-flush-end,4,108,2.0,1.74,0.26
8ppn-flush-end,4,109,1.99,1.73,0.26
8ppn-flush-end,4,110,1.99,1.73,0.26
8ppn-flush-end,4,111,1.99,1.73,0.26
8ppn-flush-end,4,112,2.01,1.74,0.27
8ppn-flush-end,4,113,2.01,1.75,0.26
8ppn-flush-end,4,114,2.01,1.74,0.27
8ppn-flush-end,4,115,1.99,1.72,0.27
8ppn-flush-end,4,116,1.99,1.72,0.27
8ppn-flush-end,4,117,1.99,1.72,0.27
8ppn-flush-end,4,118,2.0,1.73,0.27
8ppn-flush-end,4,119,1.99,1.72,0.27
8ppn-flush-end,4,120,2.0,1.73,0.27
