Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
1ppn-all-1sec,2,11,2.18,1.82,0.36
1ppn-all-1sec,2,12,2.23,1.88,0.35
1ppn-all-1sec,2,13,2.11,1.76,0.35
1ppn-all-1sec,2,14,2.08,1.75,0.33
1ppn-all-1sec,2,15,2.11,1.75,0.36
1ppn-all-1sec,2,16,2.12,1.74,0.38
1ppn-all-1sec,2,17,2.13,1.75,0.38
1ppn-all-1sec,2,18,2.13,1.77,0.36
1ppn-all-1sec,2,19,2.13,1.81,0.32
1ppn-all-1sec,2,20,2.1,1.73,0.37
1ppn-all-1sec,2,21,2.11,1.74,0.37
1ppn-all-1sec,2,22,2.09,1.75,0.34
1ppn-all-1sec,2,23,2.14,1.77,0.37
1ppn-all-1sec,2,24,2.11,1.75,0.36
1ppn-all-1sec,2,25,2.09,1.73,0.36
1ppn-all-1sec,2,26,2.16,1.8,0.36
1ppn-all-1sec,2,27,2.2,1.84,0.36
1ppn-all-1sec,2,28,2.09,1.75,0.34
1ppn-all-1sec,2,29,2.11,1.77,0.34
1ppn-all-1sec,2,30,2.1,1.76,0.34
1ppn-all-1sec,2,31,2.11,1.74,0.37
1ppn-all-1sec,2,32,2.12,1.76,0.36
1ppn-all-1sec,2,33,2.07,1.74,0.33
1ppn-all-1sec,2,34,2.05,1.74,0.31
1ppn-all-1sec,2,35,2.09,1.73,0.36
1ppn-all-1sec,2,36,2.14,1.8,0.34
1ppn-all-1sec,2,37,2.17,1.82,0.35
1ppn-all-1sec,2,38,2.04,1.74,0.3
1ppn-all-1sec,2,39,2.07,1.73,0.34
1ppn-all-1sec,2,40,2.04,1.73,0.31
1ppn-all-1sec,2,41,2.1,1.73,0.37
1ppn-all-1sec,2,42,2.01,1.73,0.28
1ppn-all-1sec,2,43,2.08,1.74,0.34
1ppn-all-1sec,2,44,2.02,1.74,0.28
1ppn-all-1sec,2,45,2.11,1.74,0.37
1ppn-all-1sec,2,46,2.03,1.74,0.29
1ppn-all-1sec,2,47,2.1,1.75,0.35
1ppn-all-1sec,2,48,2.12,1.8,0.32
1ppn-all-1sec,2,49,2.19,1.84,0.35
1ppn-all-1sec,2,50,2.03,1.75,0.28
1ppn-all-1sec,2,51,2.14,1.79,0.35
1ppn-all-1sec,2,52,2.11,1.79,0.32
1ppn-all-1sec,2,53,2.1,1.74,0.36
1ppn-all-1sec,2,54,2.07,1.73,0.34
1ppn-all-1sec,2,55,2.09,1.74,0.35
1ppn-all-1sec,2,56,2.07,1.74,0.33
1ppn-all-1sec,2,57,2.08,1.73,0.35
1ppn-all-1sec,2,58,2.09,1.74,0.35
1ppn-all-1sec,2,59,2.08,1.74,0.34
1ppn-all-1sec,2,60,2.1,1.76,0.34
1ppn-all-1sec,2,61,2.1,1.74,0.36
1ppn-all-1sec,2,62,2.11,1.78,0.33
1ppn-all-1sec,2,63,2.09,1.75,0.34
1ppn-all-1sec,2,64,2.12,1.77,0.35
1ppn-all-1sec,2,65,2.08,1.73,0.35
1ppn-all-1sec,2,66,2.06,1.73,0.33
1ppn-all-1sec,2,67,2.06,1.73,0.33
1ppn-all-1sec,2,68,2.05,1.72,0.33
1ppn-all-1sec,2,69,2.05,1.73,0.32
1ppn-all-1sec,2,70,2.1,1.76,0.34
1ppn-all-1sec,2,71,2.12,1.74,0.38
1ppn-all-1sec,2,72,2.09,1.74,0.35
1ppn-all-1sec,2,73,2.03,1.74,0.29
1ppn-all-1sec,2,74,2.02,1.75,0.27
1ppn-all-1sec,2,75,2.0,1.73,0.27
1ppn-all-1sec,2,76,2.2,1.78,0.42
1ppn-all-1sec,2,77,2.15,1.75,0.4
1ppn-all-1sec,2,78,2.15,1.74,0.41
1ppn-all-1sec,2,79,2.11,1.74,0.37
1ppn-all-1sec,2,80,2.12,1.78,0.34
1ppn-all-1sec,2,81,2.16,1.83,0.33
1ppn-all-1sec,2,82,2.07,1.74,0.33
1ppn-all-1sec,2,83,2.07,1.72,0.35
1ppn-all-1sec,2,84,2.05,1.72,0.33
1ppn-all-1sec,2,85,2.06,1.73,0.33
1ppn-all-1sec,2,86,2.07,1.73,0.34
1ppn-all-1sec,2,87,2.07,1.73,0.34
1ppn-all-1sec,2,88,2.03,1.72,0.31
1ppn-all-1sec,2,89,2.08,1.73,0.35
1ppn-all-1sec,2,90,2.03,1.73,0.3
1ppn-all-1sec,2,91,2.01,1.73,0.28
1ppn-all-1sec,2,92,2.08,1.73,0.35
1ppn-all-1sec,2,93,2.02,1.73,0.29
1ppn-all-1sec,2,94,2.1,1.74,0.36
1ppn-all-1sec,2,95,2.07,1.73,0.34
1ppn-all-1sec,2,96,2.08,1.74,0.34
1ppn-all-1sec,2,97,2.04,1.76,0.28
1ppn-all-1sec,2,98,2.08,1.74,0.34
1ppn-all-1sec,2,99,2.09,1.77,0.32
1ppn-all-1sec,2,100,2.12,1.75,0.37
1ppn-all-1sec,2,101,2.02,1.75,0.27
1ppn-all-1sec,2,102,2.14,1.8,0.34
1ppn-all-1sec,2,103,2.08,1.77,0.31
1ppn-all-1sec,2,104,2.07,1.73,0.34
1ppn-all-1sec,2,105,2.2,1.77,0.43
1ppn-all-1sec,2,106,2.2,1.78,0.42
1ppn-all-1sec,2,107,2.1,1.73,0.37
1ppn-all-1sec,2,108,2.16,1.74,0.42
1ppn-all-1sec,2,109,2.15,1.73,0.42
1ppn-all-1sec,2,110,2.13,1.77,0.36
1ppn-all-1sec,2,111,2.11,1.73,0.38
1ppn-all-1sec,2,112,2.06,1.73,0.33
1ppn-all-1sec,2,113,2.07,1.74,0.33
1ppn-all-1sec,2,114,2.14,1.73,0.41
1ppn-all-1sec,2,115,2.04,1.72,0.32
1ppn-all-1sec,2,116,2.07,1.74,0.33
1ppn-all-1sec,2,117,2.05,1.74,0.31
1ppn-all-1sec,2,118,2.05,1.73,0.32
1ppn-all-1sec,2,119,2.08,1.75,0.33
1ppn-all-1sec,2,120,2.09,1.75,0.34
1ppn-all-1sec,2,121,2.01,1.74,0.27
1ppn-all-1sec,2,122,2.07,1.75,0.32
1ppn-all-1sec,2,123,2.04,1.75,0.29
1ppn-all-1sec,2,124,2.05,1.76,0.29
1ppn-all-1sec,2,125,2.21,1.8,0.41
1ppn-all-1sec,2,126,2.22,1.8,0.42
1ppn-all-1sec,2,127,2.21,1.81,0.4
1ppn-all-1sec,2,128,2.11,1.79,0.32
1ppn-all-1sec,2,129,2.1,1.73,0.37
1ppn-all-1sec,2,130,2.75,1.73,1.02
1ppn-all-1sec,2,131,2.47,1.74,0.73
1ppn-all-1sec,2,132,2.08,1.74,0.34
1ppn-all-1sec,2,133,,,0.64
1ppn-all-1sec,3,1,2.62,1.95,0.67
1ppn-all-1sec,3,2,2.09,1.75,0.34
1ppn-all-1sec,3,3,2.06,1.72,0.34
1ppn-all-1sec,3,4,2.04,1.73,0.31
1ppn-all-1sec,3,5,2.12,1.8,0.32
1ppn-all-1sec,3,6,2.19,1.85,0.34
1ppn-all-1sec,3,7,2.13,1.78,0.35
1ppn-all-1sec,3,8,2.07,1.74,0.33
1ppn-all-1sec,3,9,2.09,1.74,0.35
1ppn-all-1sec,3,10,2.05,1.73,0.32
1ppn-all-1sec,3,11,2.17,1.8,0.37
1ppn-all-1sec,3,12,2.13,1.84,0.29
1ppn-all-1sec,3,13,2.14,1.77,0.37
1ppn-all-1sec,3,14,2.05,1.75,0.3
1ppn-all-1sec,3,15,2.05,1.74,0.31
1ppn-all-1sec,3,16,2.11,1.73,0.38
1ppn-all-1sec,3,17,2.1,1.74,0.36
1ppn-all-1sec,3,18,2.14,1.79,0.35
1ppn-all-1sec,3,19,2.17,1.8,0.37
1ppn-all-1sec,3,20,2.08,1.73,0.35
1ppn-all-1sec,3,21,2.02,1.72,0.3
1ppn-all-1sec,3,22,2.14,1.78,0.36
1ppn-all-1sec,3,23,2.06,1.73,0.33
1ppn-all-1sec,3,24,2.06,1.76,0.3
1ppn-all-1sec,3,25,2.11,1.76,0.35
1ppn-all-1sec,3,26,2.19,1.79,0.4
1ppn-all-1sec,3,27,2.07,1.78,0.29
1ppn-all-1sec,3,28,2.12,1.76,0.36
1ppn-all-1sec,3,29,2.07,1.73,0.34
1ppn-all-1sec,3,30,2.11,1.78,0.33
1ppn-all-1sec,3,31,2.05,1.73,0.32
1ppn-all-1sec,3,32,2.11,1.76,0.35
1ppn-all-1sec,3,33,2.01,1.72,0.29
1ppn-all-1sec,3,34,2.09,1.74,0.35
1ppn-all-1sec,3,35,2.01,1.73,0.28
1ppn-all-1sec,3,36,2.14,1.78,0.36
1ppn-all-1sec,3,37,2.07,1.78,0.29
1ppn-all-1sec,3,38,2.11,1.75,0.36
1ppn-all-1sec,3,39,2.08,1.72,0.36
1ppn-all-1sec,3,40,2.06,1.72,0.34
1ppn-all-1sec,3,41,2.09,1.73,0.36
1ppn-all-1sec,3,42,2.12,1.75,0.37
1ppn-all-1sec,3,43,2.1,1.74,0.36
1ppn-all-1sec,3,44,2.07,1.74,0.33
1ppn-all-1sec,3,45,2.11,1.76,0.35
1ppn-all-1sec,3,46,2.08,1.73,0.35
1ppn-all-1sec,3,47,2.09,1.74,0.35
1ppn-all-1sec,3,48,2.13,1.78,0.35
1ppn-all-1sec,3,49,2.13,1.77,0.36
1ppn-all-1sec,3,50,2.14,1.74,0.4
1ppn-all-1sec,3,51,2.17,1.77,0.4
1ppn-all-1sec,3,52,2.17,1.77,0.4
1ppn-all-1sec,3,53,2.1,1.76,0.34
1ppn-all-1sec,3,54,2.06,1.72,0.34
1ppn-all-1sec,3,55,2.05,1.73,0.32
1ppn-all-1sec,3,56,2.01,1.73,0.28
1ppn-all-1sec,3,57,2.07,1.72,0.35
1ppn-all-1sec,3,58,2.06,1.73,0.33
1ppn-all-1sec,3,59,2.09,1.75,0.34
1ppn-all-1sec,3,60,2.09,1.76,0.33
1ppn-all-1sec,3,61,2.07,1.74,0.33
1ppn-all-1sec,3,62,2.08,1.74,0.34
1ppn-all-1sec,3,63,2.14,1.77,0.37
1ppn-all-1sec,3,64,2.09,1.79,0.3
1ppn-all-1sec,3,65,2.09,1.73,0.36
1ppn-all-1sec,3,66,2.06,1.73,0.33
1ppn-all-1sec,3,67,2.07,1.73,0.34
1ppn-all-1sec,3,68,2.06,1.72,0.34
1ppn-all-1sec,3,69,2.06,1.73,0.33
1ppn-all-1sec,3,70,2.05,1.72,0.33
1ppn-all-1sec,3,71,2.01,1.73,0.28
1ppn-all-1sec,3,72,2.08,1.73,0.35
1ppn-all-1sec,3,73,2.03,1.73,0.3
1ppn-all-1sec,3,74,2.08,1.75,0.33
1ppn-all-1sec,3,75,2.02,1.72,0.3
1ppn-all-1sec,3,76,2.05,1.77,0.28
1ppn-all-1sec,3,77,2.08,1.74,0.34
1ppn-all-1sec,3,78,2.13,1.75,0.38
1ppn-all-1sec,3,79,2.05,1.72,0.33
1ppn-all-1sec,3,80,2.13,1.78,0.35
1ppn-all-1sec,3,81,2.04,1.77,0.27
1ppn-all-1sec,3,82,2.11,1.75,0.36
1ppn-all-1sec,3,83,2.09,1.72,0.37
1ppn-all-1sec,3,84,2.03,1.73,0.3
1ppn-all-1sec,3,85,2.06,1.72,0.34
1ppn-all-1sec,3,86,2.07,1.72,0.35
1ppn-all-1sec,3,87,2.07,1.73,0.34
1ppn-all-1sec,3,88,2.08,1.73,0.35
1ppn-all-1sec,3,89,2.12,1.73,0.39
1ppn-all-1sec,3,90,2.12,1.73,0.39
1ppn-all-1sec,3,91,2.06,1.74,0.32
1ppn-all-1sec,3,92,2.06,1.72,0.34
1ppn-all-1sec,3,93,2.05,1.72,0.33
1ppn-all-1sec,3,94,2.07,1.73,0.34
1ppn-all-1sec,3,95,2.02,1.73,0.29
1ppn-all-1sec,3,96,2.07,1.74,0.33
1ppn-all-1sec,3,97,2.06,1.76,0.3
1ppn-all-1sec,3,98,2.05,1.73,0.32
1ppn-all-1sec,3,99,2.13,1.78,0.35
1ppn-all-1sec,3,100,2.05,1.72,0.33
1ppn-all-1sec,3,101,2.08,1.78,0.3
1ppn-all-1sec,3,102,2.06,1.78,0.28
1ppn-all-1sec,3,103,2.01,1.74,0.27
1ppn-all-1sec,3,104,2.12,1.78,0.34
1ppn-all-1sec,3,105,2.14,1.73,0.41
1ppn-all-1sec,3,106,2.15,1.74,0.41
1ppn-all-1sec,3,107,2.2,1.73,0.47
1ppn-all-1sec,3,108,2.12,1.73,0.39
1ppn-all-1sec,3,109,2.08,1.73,0.35
1ppn-all-1sec,3,110,2.11,1.73,0.38
1ppn-all-1sec,3,111,2.02,1.75,0.27
1ppn-all-1sec,3,112,2.09,1.76,0.33
1ppn-all-1sec,3,113,2.08,1.73,0.35
1ppn-all-1sec,3,114,2.06,1.73,0.33
1ppn-all-1sec,3,115,2.06,1.72,0.34
1ppn-all-1sec,3,116,2.06,1.72,0.34
1ppn-all-1sec,3,117,2.01,1.73,0.28
1ppn-all-1sec,3,118,2.08,1.73,0.35
1ppn-all-1sec,3,119,2.07,1.75,0.32
1ppn-all-1sec,3,120,2.12,1.77,0.35
1ppn-all-1sec,3,121,2.05,1.73,0.32
1ppn-all-1sec,3,122,2.12,1.77,0.35
1ppn-all-1sec,3,123,2.03,1.73,0.3
1ppn-all-1sec,3,124,2.12,1.78,0.34
1ppn-all-1sec,3,125,2.16,1.81,0.35
1ppn-all-1sec,3,126,2.11,1.79,0.32
1ppn-all-1sec,3,127,2.17,1.72,0.45
