Label,Earthquake id,Step id,Step total time,Non_io_time,IO time
no-io,3,127,1.73,1.73,0
no-io,3,128,1.73,1.73,0
no-io,3,129,1.85,1.85,0
no-io,3,130,1.81,1.81,0
no-io,3,131,1.73,1.73,0
no-io,3,132,1.73,1.73,0
no-io,3,133,,0.0,0
no-io,4,1,2.2,2.2,0
no-io,4,2,1.75,1.75,0
no-io,4,3,1.79,1.79,0
no-io,4,4,1.74,1.74,0
no-io,4,5,1.78,1.78,0
no-io,4,6,1.75,1.75,0
no-io,4,7,1.79,1.79,0
no-io,4,8,1.76,1.76,0
no-io,4,9,1.74,1.74,0
no-io,4,10,1.79,1.79,0
no-io,4,11,1.79,1.79,0
no-io,4,12,1.77,1.77,0
no-io,4,13,1.74,1.74,0
no-io,4,14,1.74,1.74,0
no-io,4,15,1.74,1.74,0
no-io,4,16,1.74,1.74,0
no-io,4,17,1.81,1.81,0
no-io,4,18,1.81,1.81,0
no-io,4,19,1.85,1.85,0
no-io,4,20,1.74,1.74,0
no-io,4,21,1.74,1.74,0
no-io,4,22,1.75,1.75,0
no-io,4,23,1.73,1.73,0
no-io,4,24,1.74,1.74,0
no-io,4,25,1.74,1.74,0
no-io,4,26,1.83,1.83,0
no-io,4,27,1.79,1.79,0
no-io,4,28,1.73,1.73,0
no-io,4,29,1.73,1.73,0
no-io,4,30,1.73,1.73,0
no-io,4,31,1.77,1.77,0
no-io,4,32,1.74,1.74,0
no-io,4,33,1.73,1.73,0
no-io,4,34,1.74,1.74,0
no-io,4,35,1.74,1.74,0
no-io,4,36,1.83,1.83,0
no-io,4,37,1.81,1.81,0
no-io,4,38,1.74,1.74,0
no-io,4,39,1.75,1.75,0
no-io,4,40,1.75,1.75,0
no-io,4,41,1.74,1.74,0
no-io,4,42,1.74,1.74,0
no-io,4,43,1.74,1.74,0
no-io,4,44,1.77,1.77,0
no-io,4,45,1.74,1.74,0
no-io,4,46,1.73,1.73,0
no-io,4,47,1.78,1.78,0
no-io,4,48,1.75,1.75,0
no-io,4,49,1.82,1.82,0
no-io,4,50,1.73,1.73,0
no-io,4,51,1.74,1.74,0
no-io,4,52,1.73,1.73,0
no-io,4,53,1.78,1.78,0
no-io,4,54,1.73,1.73,0
no-io,4,55,1.74,1.74,0
no-io,4,56,1.76,1.76,0
no-io,4,57,1.76,1.76,0
no-io,4,58,1.73,1.73,0
no-io,4,59,1.73,1.73,0
no-io,4,60,1.74,1.74,0
no-io,4,61,1.77,1.77,0
no-io,4,62,1.75,1.75,0
no-io,4,63,1.77,1.77,0
no-io,4,64,1.76,1.76,0
no-io,4,65,1.8,1.8,0
no-io,4,66,1.74,1.74,0
no-io,4,67,1.73,1.73,0
no-io,4,68,1.74,1.74,0
no-io,4,69,1.74,1.74,0
no-io,4,70,1.8,1.8,0
no-io,4,71,1.73,1.73,0
no-io,4,72,1.73,1.73,0
no-io,4,73,1.75,1.75,0
no-io,4,74,1.77,1.77,0
no-io,4,75,1.73,1.73,0
no-io,4,76,1.73,1.73,0
no-io,4,77,1.74,1.74,0
no-io,4,78,1.79,1.79,0
no-io,4,79,1.79,1.79,0
no-io,4,80,1.73,1.73,0
no-io,4,81,1.78,1.78,0
no-io,4,82,1.77,1.77,0
no-io,4,83,1.75,1.75,0
no-io,4,84,1.73,1.73,0
no-io,4,85,1.74,1.74,0
no-io,4,86,1.74,1.74,0
no-io,4,87,1.78,1.78,0
no-io,4,88,1.73,1.73,0
no-io,4,89,1.73,1.73,0
no-io,4,90,1.75,1.75,0
no-io,4,91,1.77,1.77,0
no-io,4,92,1.74,1.74,0
no-io,4,93,1.73,1.73,0
no-io,4,94,1.75,1.75,0
no-io,4,95,1.77,1.77,0
no-io,4,96,1.8,1.8,0
no-io,4,97,1.73,1.73,0
no-io,4,98,1.75,1.75,0
no-io,4,99,1.8,1.8,0
no-io,4,100,1.75,1.75,0
no-io,4,101,1.73,1.73,0
no-io,4,102,1.74,1.74,0
no-io,4,103,1.74,1.74,0
no-io,4,104,1.78,1.78,0
no-io,4,105,1.74,1.74,0
no-io,4,106,1.73,1.73,0
no-io,4,107,1.75,1.75,0
no-io,4,108,1.77,1.77,0
no-io,4,109,1.74,1.74,0
no-io,4,110,1.73,1.73,0
no-io,4,111,1.74,1.74,0
no-io,4,112,1.78,1.78,0
no-io,4,113,1.81,1.81,0
no-io,4,114,1.73,1.73,0
no-io,4,115,1.75,1.75,0
no-io,4,116,1.81,1.81,0
no-io,4,117,1.75,1.75,0
no-io,4,118,1.73,1.73,0
no-io,4,119,1.73,1.73,0
no-io,4,120,1.74,1.74,0
no-io,4,121,1.77,1.77,0
no-io,4,122,1.74,1.74,0
no-io,4,123,1.73,1.73,0
no-io,4,124,1.75,1.75,0
no-io,4,125,1.76,1.76,0
no-io,4,126,1.74,1.74,0
no-io,4,127,1.73,1.73,0
no-io,4,128,1.74,1.74,0
no-io,4,129,1.78,1.78,0
no-io,4,130,1.8,1.8,0
no-io,4,131,1.75,1.75,0
no-io,4,132,1.74,1.74,0
no-io,4,133,,0.0,0
no-io,5,1,1.82,1.82,0
no-io,5,2,1.83,1.83,0
no-io,5,3,1.74,1.74,0
no-io,5,4,1.78,1.78,0
no-io,5,5,1.73,1.73,0
no-io,5,6,1.83,1.83,0
no-io,5,7,1.74,1.74,0
no-io,5,8,1.78,1.78,0
no-io,5,9,1.74,1.74,0
no-io,5,10,1.74,1.74,0
no-io,5,11,1.76,1.76,0
no-io,5,12,1.82,1.82,0
no-io,5,13,1.73,1.73,0
no-io,5,14,1.73,1.73,0
no-io,5,15,1.73,1.73,0
no-io,5,16,1.74,1.74,0
no-io,5,17,1.74,1.74,0
no-io,5,18,1.81,1.81,0
no-io,5,19,1.85,1.85,0
no-io,5,20,1.77,1.77,0
no-io,5,21,1.73,1.73,0
no-io,5,22,1.73,1.73,0
no-io,5,23,1.73,1.73,0
no-io,5,24,1.73,1.73,0
no-io,5,25,1.74,1.74,0
no-io,5,26,1.73,1.73,0
no-io,5,27,1.86,1.86,0
no-io,5,28,1.74,1.74,0
no-io,5,29,1.73,1.73,0
no-io,5,30,1.72,1.72,0
no-io,5,31,1.73,1.73,0
no-io,5,32,1.75,1.75,0
no-io,5,33,1.73,1.73,0
no-io,5,34,1.73,1.73,0
no-io,5,35,1.74,1.74,0
no-io,5,36,1.75,1.75,0
no-io,5,37,1.84,1.84,0
no-io,5,38,1.76,1.76,0
no-io,5,39,1.72,1.72,0
no-io,5,40,1.74,1.74,0
no-io,5,41,1.73,1.73,0
no-io,5,42,1.74,1.74,0
no-io,5,43,1.73,1.73,0
no-io,5,44,1.77,1.77,0
no-io,5,45,1.76,1.76,0
no-io,5,46,1.72,1.72,0
no-io,5,47,1.73,1.73,0
no-io,5,48,1.77,1.77,0
no-io,5,49,1.79,1.79,0
no-io,5,50,1.76,1.76,0
no-io,5,51,1.73,1.73,0
no-io,5,52,1.74,1.74,0
no-io,5,53,1.74,1.74,0
no-io,5,54,1.75,1.75,0
no-io,5,55,1.73,1.73,0
no-io,5,56,1.72,1.72,0
no-io,5,57,1.74,1.74,0
no-io,5,58,1.74,1.74,0
no-io,5,59,1.72,1.72,0
no-io,5,60,1.72,1.72,0
no-io,5,61,1.75,1.75,0
no-io,5,62,1.77,1.77,0
no-io,5,63,1.8,1.8,0
no-io,5,64,1.74,1.74,0
no-io,5,65,1.74,1.74,0
no-io,5,66,1.75,1.75,0
no-io,5,67,1.73,1.73,0
no-io,5,68,1.73,1.73,0
no-io,5,69,1.74,1.74,0
no-io,5,70,1.76,1.76,0
no-io,5,71,1.77,1.77,0
no-io,5,72,1.73,1.73,0
no-io,5,73,1.73,1.73,0
no-io,5,74,1.74,1.74,0
no-io,5,75,1.73,1.73,0
no-io,5,76,1.73,1.73,0
no-io,5,77,1.72,1.72,0
no-io,5,78,1.73,1.73,0
no-io,5,79,1.84,1.84,0
no-io,5,80,1.74,1.74,0
no-io,5,81,1.73,1.73,0
no-io,5,82,1.73,1.73,0
no-io,5,83,1.75,1.75,0
no-io,5,84,1.73,1.73,0
no-io,5,85,1.73,1.73,0
no-io,5,86,1.73,1.73,0
no-io,5,87,1.76,1.76,0
no-io,5,88,1.77,1.77,0
no-io,5,89,1.73,1.73,0
no-io,5,90,1.73,1.73,0
no-io,5,91,1.73,1.73,0
no-io,5,92,1.73,1.73,0
no-io,5,93,1.73,1.73,0
no-io,5,94,1.73,1.73,0
no-io,5,95,1.73,1.73,0
no-io,5,96,1.86,1.86,0
no-io,5,97,1.76,1.76,0
no-io,5,98,1.73,1.73,0
no-io,5,99,1.73,1.73,0
no-io,5,100,1.75,1.75,0
no-io,5,101,1.73,1.73,0
no-io,5,102,1.73,1.73,0
no-io,5,103,1.73,1.73,0
no-io,5,104,1.76,1.76,0
